Year,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthlemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Western Sahara,World,Yemen,Zambia,Zimbabwe
1833,3476034.0,94007792.0,463271.0,2752781.0,,2908.0,1895181.0,,37000.0,671785.0,465481.0,,797870526.0,354966.0,3590572.0,990997.0,27630.0,64474.0,21133293.0,101939.0,2652255.0,3846368.0,25679.0,699483.0,,367580.0,1211362.0,,922641.0,106730.0,5534032.0,,2970.0,2317556.0,1743740.0,1092908.0,2152319.0,2209947.0,1309115.0,63914.0,,639457.0,1657735.0,,1025767.0,409897918.0,1756641.0,57902.0,387092.0,,82519.0,1064483.0,1376189.0,1008000.0,,185054.0,6108708.0,6318651.0,1297692.0,29264.0,21260.0,110321.0,618393.0,4375252.0,293610.0,91488.0,349775.0,390722.0,72333.0,14505567.0,249831849.0,,,138295.0,1386699.0,33772885.0,,,208081.0,106997.0,1207470.0,28938965.0,2000798.0,,2604797.0,,30915.0,,,665022.0,1003094.0,214815.0,117942.0,809405.0,204200.0,24974.0,4558946.0,58513.0,220221111.0,18924059.0,6952069.0,1158478.0,7980409.0,,209954.0,21932135.0,385236.0,31429471.0,249726.0,2298860.0,3064761.0,19032.0,81280.0,597264.0,531689.0,729807.0,364622.0,228377.0,320601.0,248585.0,6364.0,942473.0,172946.0,,2043032.0,1496637.0,374542.0,45752.0,1445535.0,144856.0,7861.0,,338605.0,99162.0,,6574426.0,17478.0,802472.0,9109.0,631385.0,155106.0,,2756461.0,2990700.0,3684673.0,147481.0,1855.0,4078554.0,2706706.0,,,89967.0,228869.0,913368.0,12704609.0,,26545129.0,4387566.0,439194.0,,1158005.0,1557531.0,330075.0,14247248.0,4126.0,165944.0,96021.0,758610.0,210947.0,1575456.0,2737387.0,11472700.0,3553705.0,,14092.0,,7043287.0,35322763.0,1148151.0,,,21472.0,24000.0,,,27532.0,47035.0,6072.0,24919.0,2152602.0,975213.0,2091528.0,13105.0,787489.0,39334.0,,2246198.0,526390.0,65556.0,1183900.0,2066766.0,13862168.0,9459711.0,1118059.0,13304164.0,1575899.0,4346694.0,82643.0,,2948175.0,2135368.0,1396805.0,2084717.0,525510.0,3907193.0,4901996.0,162864.0,471306.0,,18528.0,67972.0,971068.0,10495329.0,413552.0,,2661.0,2438145.0,12630710.0,40153.0,24895561.0,14392986.0,,80443.0,2161327.0,31561.0,905.0,976757.0,6306333.0,,,1183674995.0,2655083.0,1231778.0,878624.0
1834,3491585.0,94904834.0,465356.0,2757748.0,,2929.0,1923071.0,,37000.0,684790.0,469753.0,,799716022.0,363631.0,3608240.0,1000091.0,27651.0,64474.0,21223054.0,103684.0,2676594.0,3878946.0,25691.0,704570.0,,365745.0,1220376.0,,928325.0,106325.0,5622007.0,,3031.0,2327913.0,1749913.0,1109424.0,2157188.0,2239413.0,1358828.0,64592.0,,653756.0,1665104.0,,1046657.0,410197589.0,1780729.0,58023.0,393321.0,,84073.0,1062655.0,1388305.0,1008000.0,,185074.0,6146481.0,6417396.0,1306011.0,29826.0,21364.0,112156.0,628572.0,4389511.0,297444.0,92403.0,364401.0,395449.0,71954.0,14711513.0,251776566.0,,,138538.0,1394336.0,33931751.0,,,212504.0,107289.0,1218551.0,29242182.0,1999631.0,,2628759.0,,31034.0,,,670734.0,1004581.0,214559.0,114873.0,816459.0,210789.0,25394.0,4592346.0,58295.0,221108547.0,19081265.0,6983170.0,1163673.0,8032100.0,,209954.0,22073351.0,384049.0,31462750.0,252437.0,2319956.0,3081008.0,19124.0,81280.0,602745.0,536753.0,741771.0,367259.0,225048.0,321151.0,249828.0,6409.0,956403.0,173937.0,,2073691.0,1529090.0,382279.0,46022.0,1448827.0,145720.0,8044.0,,335430.0,101290.0,,6639634.0,17562.0,809836.0,9219.0,632347.0,157547.0,,2761719.0,3073431.0,3698784.0,145527.0,1856.0,4094156.0,2731653.0,,,86814.0,232545.0,918171.0,12752266.0,,27095340.0,4390857.0,443061.0,,1169529.0,1564972.0,331023.0,14294165.0,4146.0,165944.0,96720.0,758897.0,217336.0,1647861.0,2786078.0,11557392.0,3574815.0,,14092.0,,7096278.0,35648958.0,1167048.0,,,21841.0,24000.0,,,27671.0,47027.0,6119.0,25095.0,2157414.0,972595.0,2087305.0,13151.0,786971.0,40161.0,,2254527.0,531024.0,66264.0,1199358.0,2112941.0,14137131.0,9464707.0,1123040.0,13392863.0,1607898.0,4366061.0,82793.0,,2972567.0,2147268.0,1401514.0,2091351.0,530333.0,3985279.0,4920712.0,165018.0,473311.0,,18524.0,68627.0,978876.0,10528452.0,417347.0,,2674.0,2466156.0,12746617.0,40153.0,25152100.0,14795346.0,,82826.0,2181161.0,31871.0,905.0,1008311.0,6287891.0,,,1189194865.0,2659919.0,1250580.0,864412.0
1835,3507205.0,95816766.0,467449.0,2762725.0,,2950.0,1951372.0,,37000.0,698047.0,474064.0,,801570412.0,372507.0,3625995.0,1009269.0,27673.0,64474.0,21313197.0,105459.0,2701156.0,3911800.0,25703.0,709695.0,,363919.0,1229458.0,,934044.0,105921.0,5711380.0,,3094.0,2338315.0,1756108.0,1126189.0,2162068.0,2269272.0,1410429.0,65277.0,,668375.0,1672505.0,,1067973.0,410497479.0,1805148.0,58145.0,399651.0,,85657.0,1060830.0,1400527.0,1008000.0,,185094.0,6184487.0,6517686.0,1314383.0,30398.0,21469.0,114022.0,638919.0,4403817.0,301328.0,93327.0,379639.0,400232.0,71578.0,14920384.0,253737784.0,,,138780.0,1402014.0,34091365.0,,,217021.0,107581.0,1229733.0,29548576.0,1998465.0,,2652941.0,,31153.0,,,676495.0,1006071.0,214304.0,111885.0,823575.0,217590.0,25822.0,4625990.0,58077.0,221999558.0,19239776.0,7014411.0,1168890.0,8084125.0,,209954.0,22215476.0,382866.0,31496064.0,255177.0,2341245.0,3097341.0,19217.0,81280.0,608276.0,541866.0,753932.0,369914.0,221767.0,321701.0,251077.0,6455.0,970537.0,174934.0,,2104810.0,1562247.0,390176.0,46294.0,1452127.0,146590.0,8231.0,,332284.0,103463.0,,6705488.0,17647.0,817267.0,9331.0,633312.0,160026.0,,2766987.0,3158451.0,3712950.0,143598.0,1858.0,4109818.0,2756831.0,,,83772.0,236280.0,923000.0,12800102.0,,27659879.0,4394151.0,446961.0,,1181168.0,1572752.0,331973.0,14341238.0,4166.0,165944.0,97423.0,759184.0,223918.0,1723594.0,2835636.0,11642709.0,3596049.0,,14092.0,,7149667.0,35978166.0,1186255.0,,,22216.0,24000.0,,,27811.0,47019.0,6166.0,25273.0,2162237.0,969985.0,2083091.0,13197.0,786452.0,41006.0,,2262887.0,535699.0,66981.0,1215018.0,2160147.0,14419428.0,9469706.0,1128044.0,13482154.0,1640547.0,4385515.0,82943.0,,2997160.0,2159233.0,1406238.0,2098006.0,535199.0,4064927.0,4939500.0,167201.0,475326.0,,18520.0,69288.0,986747.0,10561679.0,421177.0,,2686.0,2494490.0,12863588.0,40153.0,25411282.0,15208954.0,,85278.0,2201176.0,32184.0,905.0,1040885.0,6269504.0,,,1194777021.0,2664764.0,1269669.0,850430.0
1836,3522896.0,96743850.0,469552.0,2767711.0,,2970.0,1980089.0,,37000.0,711561.0,478414.0,,803433758.0,381599.0,3643838.0,1018530.0,27695.0,64474.0,21403723.0,107264.0,2725944.0,3944932.0,25715.0,714857.0,,362101.0,1238607.0,,939799.0,105519.0,5802174.0,,3158.0,2348764.0,1762325.0,1143208.0,2166959.0,2299528.0,1463990.0,65969.0,,683321.0,1679939.0,,1089722.0,410797588.0,1829902.0,58266.0,406082.0,,87270.0,1059009.0,1412857.0,1008000.0,,185114.0,6222728.0,6619542.0,1322809.0,30982.0,21574.0,115919.0,649436.0,4418169.0,305263.0,94261.0,395514.0,405073.0,71203.0,15132219.0,255715669.0,,,139024.0,1409734.0,34251730.0,,,221635.0,107875.0,1241018.0,29858181.0,1997299.0,,2677347.0,,31273.0,,,682306.0,1007562.0,214048.0,108974.0,830753.0,224610.0,26257.0,4659881.0,57860.0,222894160.0,19399604.0,7045791.0,1174132.0,8136487.0,,209954.0,22358516.0,381686.0,31529414.0,257947.0,2362730.0,3113761.0,19309.0,81280.0,613858.0,547027.0,766292.0,372590.0,218533.0,322253.0,252333.0,6501.0,984881.0,175937.0,,2136396.0,1596123.0,398236.0,46567.0,1455435.0,147464.0,8422.0,,329168.0,105684.0,,6771995.0,17732.0,824767.0,9444.0,634277.0,162544.0,,2772266.0,3245823.0,3727169.0,141696.0,1860.0,4125540.0,2782241.0,,,80837.0,240075.0,927853.0,12848118.0,,28239150.0,4397447.0,450896.0,,1192922.0,1580871.0,332926.0,14388465.0,4186.0,165944.0,98131.0,759471.0,230699.0,1802807.0,2886074.0,11728655.0,3617410.0,,14092.0,,7203459.0,36310413.0,1205779.0,,,22598.0,24000.0,,,27952.0,47011.0,6214.0,25452.0,2167071.0,967381.0,2078886.0,13244.0,785934.0,41868.0,,2271278.0,540415.0,67705.0,1230883.0,2208408.0,14709288.0,9474707.0,1133071.0,13572039.0,1673859.0,4405056.0,83093.0,,3021957.0,2171265.0,1410978.0,2104682.0,540111.0,4146166.0,4958359.0,169413.0,477348.0,,18516.0,69956.0,994681.0,10595011.0,425042.0,,2699.0,2523149.0,12981632.0,40153.0,25673136.0,15634125.0,,87803.0,2221376.0,32500.0,905.0,1074510.0,6251169.0,,,1200422586.0,2669617.0,1289050.0,836674.0
1837,3538656.0,97686357.0,471665.0,2772705.0,,2991.0,2009229.0,,37000.0,725336.0,482804.0,,805306136.0,390914.0,3661768.0,1027877.0,27716.0,64474.0,21494634.0,109101.0,2750959.0,3978344.0,25726.0,720056.0,,360293.0,1247824.0,,945588.0,105118.0,5894412.0,,3224.0,2359260.0,1768564.0,1160483.0,2171862.0,2330189.0,1519584.0,66669.0,,698602.0,1687407.0,,1111915.0,411097916.0,1854995.0,58389.0,412617.0,,88914.0,1057190.0,1425295.0,1008000.0,,185134.0,6261205.0,6722990.0,1331288.0,31576.0,21680.0,117848.0,660127.0,4432568.0,309249.0,95203.0,412053.0,409973.0,70831.0,15347063.0,257710364.0,,,139267.0,1417497.0,34412849.0,,,226346.0,108169.0,1252406.0,30171030.0,1996134.0,,2701976.0,,31393.0,,,688166.0,1009056.0,213794.0,106139.0,837994.0,231857.0,26699.0,4694021.0,57644.0,223792367.0,19560760.0,7077312.0,1179396.0,8189188.0,,209954.0,22502477.0,380510.0,31562799.0,260747.0,2384412.0,3130268.0,19403.0,81280.0,619491.0,552237.0,778855.0,375284.0,215347.0,322805.0,253595.0,6548.0,999437.0,176946.0,,2168455.0,1630733.0,406462.0,46842.0,1458750.0,148344.0,8618.0,,326081.0,107952.0,,6839162.0,17818.0,832336.0,9558.0,635244.0,165102.0,,2777554.0,3335611.0,3741443.0,139818.0,1861.0,4141321.0,2807885.0,,,78005.0,243932.0,932733.0,12896314.0,,28833568.0,4400746.0,454866.0,,1204794.0,1589332.0,333881.0,14435848.0,4206.0,165944.0,98845.0,759757.0,237686.0,1885661.0,2937410.0,11815236.0,3638898.0,,14092.0,,7257655.0,36645729.0,1225623.0,,,22986.0,24000.0,,,28094.0,47003.0,6262.0,25633.0,2171916.0,964784.0,2074689.0,13290.0,785416.0,42748.0,,2279700.0,545173.0,68436.0,1246955.0,2257747.0,15006964.0,9479711.0,1138119.0,13662525.0,1707847.0,4424683.0,83243.0,,3046958.0,2183365.0,1415735.0,2111379.0,545067.0,4229028.0,4977290.0,171654.0,479380.0,,18512.0,70630.0,1002678.0,10628448.0,428942.0,,2712.0,2552137.0,13100759.0,40153.0,25937687.0,16071181.0,,90404.0,2241760.0,32820.0,905.0,1109222.0,6232889.0,,,1206132721.0,2674480.0,1308726.0,823141.0
1838,3554487.0,98644581.0,473787.0,2777709.0,,3013.0,2038798.0,,37000.0,739378.0,487235.0,,807187621.0,400456.0,3679786.0,1037309.0,27738.0,64474.0,21585930.0,110968.0,2776203.0,4012040.0,25738.0,725293.0,,358494.0,1257109.0,,951414.0,104719.0,5988115.0,,3290.0,2369802.0,1774825.0,1178020.0,2176775.0,2361258.0,1577290.0,67376.0,,714224.0,1694907.0,,1134559.0,411398464.0,1880433.0,58511.0,419257.0,,90588.0,1055375.0,1437843.0,1008000.0,,185154.0,6299921.0,6828055.0,1339823.0,32182.0,21786.0,119808.0,670993.0,4447014.0,313287.0,96156.0,429283.0,414932.0,70460.0,15564956.0,259722015.0,,,139511.0,1425303.0,34574726.0,,,231158.0,108464.0,1263899.0,30487157.0,1994969.0,,2726832.0,,31514.0,,,694077.0,1010552.0,213539.0,103377.0,845298.0,239338.0,27148.0,4728411.0,57429.0,224694193.0,19723255.0,7108974.0,1184685.0,8242230.0,,209954.0,22647364.0,379338.0,31596219.0,263577.0,2406292.0,3146862.0,19496.0,81280.0,625176.0,557497.0,791623.0,377998.0,212208.0,323359.0,254863.0,6594.0,1014208.0,177960.0,,2200996.0,1666094.0,414858.0,47119.0,1462073.0,149229.0,8818.0,,323022.0,110268.0,,6906995.0,17904.0,839974.0,9674.0,636213.0,167700.0,,2782852.0,3427884.0,3755772.0,137965.0,1863.0,4157164.0,2833765.0,,,75272.0,247850.0,937637.0,12944690.0,,29443559.0,4404047.0,458870.0,,1216783.0,1598138.0,334840.0,14483387.0,4226.0,165944.0,99563.0,760045.0,244885.0,1972323.0,2989660.0,11902456.0,3660513.0,,14092.0,,7312259.0,36984141.0,1245795.0,,,23381.0,24000.0,,,28236.0,46995.0,6311.0,25815.0,2176771.0,962194.0,2070500.0,13337.0,784899.0,43646.0,,2288153.0,549972.0,69176.0,1263237.0,2308188.0,15312703.0,9484717.0,1143190.0,13753613.0,1742526.0,4444398.0,83394.0,,3072167.0,2195531.0,1420507.0,2118098.0,550069.0,4313547.0,4996294.0,173925.0,481420.0,,18508.0,71311.0,1010740.0,10661991.0,432878.0,,2726.0,2581458.0,13220979.0,40153.0,26204965.0,16520455.0,,93081.0,2262332.0,33142.0,905.0,1145056.0,6214662.0,,,1211908617.0,2679351.0,1328703.0,809827.0
1839,3570389.0,99638115.0,475919.0,2782722.0,,3034.0,2068802.0,,37000.0,756337.0,491706.0,,809016646.0,411303.0,3698789.0,1046828.0,27760.0,64474.0,21677615.0,112868.0,2801679.0,4046206.0,25750.0,730569.0,,356704.0,1266464.0,,957275.0,104322.0,6083309.0,,3359.0,2380392.0,1781108.0,1195822.0,2181700.0,2392741.0,1637493.0,68091.0,,730195.0,1702441.0,,1157081.0,411638991.0,1903501.0,58634.0,426003.0,,92076.0,1053562.0,1450501.0,1011305.0,,185174.0,6338875.0,6934761.0,1349386.0,32800.0,21900.0,121801.0,682038.0,4480233.0,317378.0,97117.0,447235.0,419951.0,70092.0,15785944.0,261645428.0,,,139646.0,1435103.0,34733003.0,,,236072.0,108760.0,1275497.0,30791884.0,1993805.0,,2751930.0,,31635.0,,,701471.0,1012050.0,213285.0,101728.0,852665.0,247061.0,27605.0,4763052.0,57296.0,225599654.0,19887099.0,7140778.0,1189997.0,8252749.0,,209954.0,22793194.0,378830.0,31629675.0,266438.0,2428374.0,3163545.0,19591.0,81280.0,630913.0,562807.0,804602.0,380731.0,209114.0,323913.0,256137.0,6641.0,1029197.0,179025.0,,2234026.0,1702222.0,423428.0,47397.0,1465403.0,150119.0,9023.0,,319993.0,113208.0,,6973425.0,17991.0,847682.0,9791.0,637183.0,170339.0,,2788161.0,3522709.0,3770156.0,136137.0,1864.0,4173066.0,2858669.0,,,73481.0,251831.0,942568.0,12993248.0,,30082208.0,4407350.0,462910.0,,1229289.0,1609101.0,335801.0,14531082.0,4247.0,165944.0,100287.0,760332.0,252301.0,2062967.0,3041443.0,11990320.0,3680067.0,,14092.0,,7367273.0,37325679.0,1266298.0,,,23782.0,24000.0,,,28379.0,46987.0,6360.0,25998.0,2181637.0,959611.0,2066320.0,13384.0,784382.0,44564.0,,2296638.0,554814.0,69924.0,1279731.0,2359756.0,15621301.0,9489727.0,1148284.0,13845298.0,1777908.0,4464201.0,83545.0,,3098887.0,2208374.0,1425295.0,2124837.0,555117.0,4399755.0,5015370.0,176226.0,483468.0,,18505.0,71998.0,1018867.0,10695639.0,436851.0,,2739.0,2611117.0,13342303.0,40153.0,26428534.0,16991513.0,,95837.0,2283093.0,33468.0,905.0,1176193.0,6196488.0,,,1217612799.0,2684231.0,1348985.0,796728.0
1840,3586362.0,100772649.0,478060.0,2787744.0,3720.0,3055.0,2099247.0,2950.0,37000.0,776366.0,496218.0,2632.0,810793199.0,423526.0,3718786.0,1056435.0,27782.0,64474.0,21769688.0,114800.0,2827389.0,4080847.0,25762.0,735882.0,,354923.0,1275888.0,,963173.0,103926.0,6180015.0,,3428.0,2391029.0,1787414.0,1213893.0,2186635.0,2424644.0,1700301.0,68813.0,,746524.0,1710008.0,,1179467.0,411819451.0,1924150.0,58757.0,432859.0,,93371.0,1051753.0,1463271.0,1017970.0,,185194.0,6378071.0,7043136.0,1359996.0,33429.0,22021.0,123827.0,693265.0,4532740.0,321522.0,98089.0,465936.0,425031.0,69725.0,16010068.0,263485084.0,3872.0,1773.0,139672.0,1446931.0,34887644.0,7995.0,,241090.0,109057.0,1287202.0,31084973.0,1992642.0,,2777272.0,6295.0,31757.0,150089.0,,710389.0,1013551.0,213031.0,101190.0,860097.0,255032.0,28070.0,4797947.0,57247.0,226508764.0,20052305.0,7172724.0,1195333.0,8221292.0,,209954.0,22939972.0,378989.0,31663166.0,269330.0,2450658.0,3180316.0,19685.0,81280.0,636703.0,568168.0,817792.0,383485.0,206065.0,324468.0,257418.0,6689.0,1044408.0,180143.0,,2267551.0,1739133.0,432175.0,47677.0,1468741.0,151015.0,9233.0,135517.0,316992.0,116812.0,160.0,7038422.0,18077.0,855461.0,9909.0,638155.0,173020.0,10603.0,2793479.0,3620157.0,3784594.0,134333.0,1866.0,4189030.0,2882581.0,20361.0,44378.0,72621.0,255876.0,947525.0,13041988.0,,31454750.0,4410657.0,466985.0,,1242319.0,1670374.0,336764.0,14578935.0,4267.0,165944.0,101016.0,760619.0,259942.0,2157778.0,3092731.0,12078833.0,3697539.0,350856.0,14092.0,103922.0,7422702.0,37670370.0,1287139.0,,,24191.0,24000.0,,4278.0,28523.0,46979.0,6409.0,26182.0,2186515.0,957035.0,2062148.0,13431.0,783865.0,45501.0,,2305154.0,559698.0,70680.0,1296441.0,2412477.0,15942636.0,9494738.0,1153400.0,13937584.0,1814009.0,4484092.0,83697.0,717.0,3127143.0,2221899.0,1430100.0,2131599.0,560211.0,4487685.0,5034519.0,178557.0,485526.0,,18502.0,72692.0,1027060.0,10729394.0,440860.0,208.0,2752.0,2641116.0,13464740.0,40153.0,26607869.0,17485246.0,20375.0,98675.0,2304044.0,33797.0,905.0,1202435.0,6178368.0,,764.0,1224118692.0,2689121.0,1369577.0,783841.0
1841,3602406.0,101734515.0,480211.0,2792774.0,,3077.0,2130141.0,,37000.0,799625.0,500772.0,,812520779.0,437202.0,3739787.0,1066129.0,27803.0,64474.0,21862153.0,116766.0,2853335.0,4115969.0,25774.0,741235.0,,353151.0,1285383.0,,969107.0,103531.0,6278259.0,,3499.0,2401714.0,1793742.0,1232237.0,2191582.0,2456973.0,1765826.0,69543.0,,763218.0,1717609.0,,1201704.0,411939802.0,1942328.0,58880.0,439825.0,,94469.0,1049947.0,1476154.0,1028049.0,,185214.0,6421552.0,7153204.0,1371667.0,34071.0,22149.0,125887.0,704677.0,4605060.0,325721.0,99070.0,485420.0,430172.0,69360.0,16237375.0,265231144.0,,,139588.0,1460824.0,35038615.0,,,246215.0,109354.0,1299014.0,31366182.0,1991480.0,,2802859.0,,31879.0,,,720869.0,1015053.0,212777.0,101764.0,867593.0,263260.0,28623.0,4833098.0,57280.0,227421537.0,20222265.0,7204813.0,1200692.0,8148395.0,,209954.0,23087704.0,379816.0,31696692.0,272253.0,2473147.0,3197175.0,19780.0,81280.0,642545.0,573579.0,831199.0,386258.0,203061.0,325025.0,258706.0,6736.0,1059844.0,181313.0,,2301579.0,1776845.0,441102.0,47959.0,1472086.0,151916.0,9448.0,,314019.0,121120.0,,7101952.0,18165.0,863311.0,10029.0,639128.0,175742.0,,2798808.0,3720300.0,3799088.0,132553.0,1868.0,4205055.0,2905482.0,,,72683.0,259985.0,952508.0,13090911.0,,31449794.0,4413965.0,471097.0,,1255885.0,1637738.0,337731.0,14626945.0,4288.0,166009.0,101751.0,760906.0,267815.0,2256945.0,3143492.0,12167999.0,3712913.0,,14092.0,,7478548.0,38018244.0,1308323.0,,,24607.0,24000.0,,,28667.0,46971.0,6459.0,26367.0,2191403.0,954466.0,2057985.0,13478.0,783349.0,46458.0,,2313701.0,564626.0,71444.0,1313369.0,2466375.0,16247519.0,9499753.0,1158540.0,14030474.0,1850844.0,4504072.0,83848.0,,3156963.0,2236117.0,1434921.0,2138383.0,565352.0,4577373.0,5053741.0,180919.0,487592.0,,18501.0,73392.0,1035318.0,10763255.0,444905.0,,2765.0,2671459.0,13588301.0,40153.0,26742439.0,18002579.0,,101597.0,2325187.0,34129.0,905.0,1223574.0,6160300.0,,,1228821489.0,2694019.0,1390482.0,771162.0
1842,3618522.0,102839146.0,482372.0,2797814.0,,3099.0,2161489.0,,37000.0,826281.0,505367.0,,814199458.0,452407.0,3761804.0,1075913.0,27825.0,64474.0,21955011.0,118765.0,2879519.0,4151578.0,25786.0,746626.0,,351387.0,1294948.0,,975077.0,103138.0,6378065.0,,3572.0,2412446.0,1800092.0,1250858.0,2196540.0,2489732.0,1834182.0,70280.0,,780285.0,1725244.0,,1223779.0,412000000.0,1957983.0,59003.0,446902.0,,95365.0,1048144.0,1489149.0,1041598.0,,185234.0,6465329.0,7264992.0,1384418.0,34725.0,22284.0,127982.0,716276.0,4697733.0,329974.0,100061.0,505718.0,435375.0,68997.0,16467910.0,266893235.0,,,139395.0,1476817.0,35185880.0,,,251449.0,109652.0,1310934.0,31635265.0,1990318.0,,2828696.0,,32002.0,,,732955.0,1016558.0,212524.0,103450.0,875155.0,271755.0,29271.0,4868507.0,57395.0,228337989.0,20397058.0,7237045.0,1206076.0,8034579.0,,209954.0,23236396.0,381313.0,31730255.0,275209.0,2495842.0,3214125.0,19876.0,81280.0,648442.0,579043.0,844826.0,389051.0,200100.0,325582.0,259999.0,6784.0,1075507.0,182537.0,,2336117.0,1815374.0,450214.0,48242.0,1475440.0,152822.0,9667.0,,311074.0,126179.0,,7163984.0,18252.0,871233.0,10151.0,640102.0,178508.0,,2804147.0,3823214.0,3813638.0,130797.0,1869.0,4221141.0,2927353.0,,,73655.0,264161.0,957517.0,13140018.0,,32180988.0,4417276.0,475244.0,,1269997.0,1655546.0,338700.0,14675113.0,4309.0,166139.0,102490.0,761194.0,275926.0,2360671.0,3193695.0,12257823.0,3726167.0,,14092.0,,7534813.0,38369331.0,1329856.0,,,25029.0,24000.0,,,28812.0,46963.0,6509.0,26554.0,2196302.0,951904.0,2053830.0,13525.0,782833.0,47434.0,,2322281.0,569597.0,72216.0,1330518.0,2521477.0,16565380.0,9504770.0,1163702.0,14123973.0,1888426.0,4524141.0,84000.0,,3188373.0,2251034.0,1439758.0,2145191.0,570540.0,4668854.0,5073036.0,183313.0,489667.0,,18500.0,74099.0,1043642.0,10797224.0,448988.0,,2779.0,2702151.0,13712995.0,40153.0,26831707.0,18544472.0,,104605.0,2346524.0,34464.0,905.0,1239396.0,6142286.0,,,1234333753.0,2698926.0,1411707.0,758688.0
